Date,Source,Title,URL,Score
2026-02-02,Hacker News,Defeating a 40-year-old copy protection dongle,https://dmitrybrant.com/2026/02/01/defeating-a-40-year-old-copy-protection-dongle,425
2026-02-02,Hacker News,Apple's MacBook Pro DFU port documentation is wrong,https://lapcatsoftware.com/articles/2026/2/1.html,55
2026-02-02,Hacker News,Show HN: NanoClaw – “Clawdbot” in 500 lines of TS with Apple container isolation,https://github.com/gavrielc/nanoclaw,318
2026-02-02,Hacker News,Actors: A Model of Concurrent Computation [pdf] (1985),https://apps.dtic.mil/sti/tr/pdf/ADA157917.pdf,56
2026-02-02,Hacker News,Notepad++ hijacked by state-sponsored actors,https://notepad-plus-plus.org/news/hijacked-incident-info-update/,582
2026-02-03,Hacker News,"Floppinux – An Embedded Linux on a Single Floppy, 2025 Edition",https://krzysztofjankowski.com/floppinux/floppinux-2025.html,43
2026-02-03,Hacker News,How does misalignment scale with model intelligence and task complexity?,https://alignment.anthropic.com/2026/hot-mess-of-ai/,148
2026-02-03,Hacker News,Anki ownership transferred to AnkiHub,https://forums.ankiweb.net/t/ankis-growing-up/68610,313
2026-02-03,Hacker News,Coding assistants are solving the wrong problem,https://www.bicameral-ai.com/blog/introducing-bicameral,23
2026-02-03,Hacker News,What's up with all those equals signs anyway?,https://lars.ingebrigtsen.no/2026/02/02/whats-up-with-all-those-equals-signs-anyway/,265
2026-02-03,Hacker News,"Floppinux – An Embedded Linux on a Single Floppy, 2025 Edition",https://krzysztofjankowski.com/floppinux/floppinux-2025.html,179
2026-02-03,Hacker News,Show HN: Safe-now.live – Ultra-light emergency info site (<10KB),https://safe-now.live,74
2026-02-03,Hacker News,The Codex App,https://openai.com/index/introducing-the-codex-app/,727
2026-02-03,Hacker News,KDE's new Plasma Login Manager is tightly bound to systemd,https://forums.FreeBSD.org/threads/kde-plasma-login-manager-wont-support-systemd-free-linux-or-bsd-systems.101393/,31
2026-02-04,Hacker News,I miss thinking hard,https://www.jernesto.com/articles/thinking_hard,195
2026-02-04,Hacker News,Petition for Recognition of Work on Open-Source as Volunteering in Germany,https://www.openpetition.de/petition/online/recognition-of-work-on-open-source-as-volunteering-in-germany,35
2026-02-04,Hacker News,Lessons learned shipping 500 units of my first hardware product,https://www.simonberens.com/p/lessons-learned-shipping-500-units,473
2026-02-04,Hacker News,Data centers in space makes no sense,https://civai.org/blog/space-data-centers,423
2026-02-04,Hacker News,Show HN: Craftplan – I built my wife a production management tool for her bakery,https://github.com/puemos/craftplan,213
2026-02-04,Hacker News,FBI Couldn't Get into WaPo Reporter's iPhone Because Lockdown Mode Enabled,https://www.404media.co/fbi-couldnt-get-into-wapo-reporters-iphone-because-it-had-lockdown-mode-enabled/,17
2026-02-04,Hacker News,Show HN: Ghidra MCP Server – 110 tools for AI-assisted reverse engineering,https://github.com/bethington/ghidra-mcp,158
2026-02-04,Hacker News,"Cannabis usage in older adults linked to larger brain, better cognitive function",https://medicalxpress.com/news/2026-02-qa-cannabis-usage-middle-aged.html,23
2026-02-04,Hacker News,Brazilian Micro-SaaS Map,https://saas-map.ssr.trapiche.cloud/,47
2026-02-04,Hacker News,Thatcher Effect – Optical Illusion and Explanation,https://optical.toys/thatcher-effect/,5

2026-02-05,Hacker News,When internal hostnames are leaked to the clown,https://rachelbythebay.com/w/2026/02/03/badnas/,65
2026-02-05,Hacker News,Voxtral Transcribe 2,https://mistral.ai/news/voxtral-transcribe-2,835
2026-02-05,Hacker News,Postgres Postmaster does not scale,https://www.recall.ai/blog/postgres-postmaster-does-not-scale,70
2026-02-05,Hacker News,A few CPU hardware bugs,https://www.taricorp.net/2026/a-few-cpu-bugs/,23
2026-02-05,Hacker News,"Sqldef: Idempotent schema management tool for MySQL, PostgreSQL, SQLite",https://sqldef.github.io/,122
2026-02-06,Hacker News,Claude Opus 4.6,https://www.anthropic.com/news/claude-opus-4-6,1790
2026-02-06,Hacker News,Things Unix can do atomically,https://rcrowley.org/2010/01/06/things-unix-can-do-atomically.html,20
2026-02-06,Hacker News,Systems Thinking,http://theprogrammersparadox.blogspot.com/2026/02/systems-thinking.html,19
2026-02-06,Hacker News,GPT-5.3-Codex,https://openai.com/index/introducing-gpt-5-3-codex/,1198
2026-02-06,Hacker News,My AI Adoption Journey,https://mitchellh.com/writing/my-ai-adoption-journey,477
2026-02-07,Hacker News,"OpenCiv3: Open-source, cross-platform reimagining of Civilization III",https://openciv3.org/,498
2026-02-07,Hacker News,The Waymo World Model,https://waymo.com/blog/2026/02/the-waymo-world-model-a-new-frontier-for-autonomous-driving-simulation,835
2026-02-07,Hacker News,How we made geo joins 400× faster with H3 indexes,https://floedb.ai/blog/how-we-made-geo-joins-400-faster-with-h3-indexes,53
2026-02-07,Hacker News,A century of hair samples proves leaded gas ban worked,https://arstechnica.com/science/2026/02/a-century-of-hair-samples-proves-leaded-gas-ban-worked/,109
2026-02-07,Hacker News,"Monty: A minimal, secure Python interpreter written in Rust for use by AI",https://github.com/pydantic/monty,162
2026-02-08,Hacker News,Show HN: LocalGPT – A local-first AI assistant in Rust with persistent memory,https://github.com/localgpt-app/localgpt,142
2026-02-08,Hacker News,Haskell for all: Beyond agentic coding,https://haskellforall.com/2026/02/beyond-agentic-coding,62
2026-02-08,Hacker News,Bye Bye Humanity: The Potential AMOC Collapse,https://thatjoescott.com/2026/02/03/bye-bye-humanity-the-potential-amoc-collapse/,46
2026-02-08,Hacker News,SectorC: A C Compiler in 512 bytes (2023),https://xorvoid.com/sectorc.html,258
2026-02-08,Hacker News,Total surface area required to fuel the world with solar (2009),https://landartgenerator.org/blagi/archives/127,24
2026-02-09,Hacker News,Claude’s C Compiler vs. GCC,https://harshanu.space/en/tech/ccc-vs-gcc/,108
2026-02-09,Hacker News,Art of Roads in Games,https://sandboxspirit.com/blog/art-of-roads-in-games/,178
2026-02-09,Hacker News,Vouch,https://github.com/mitchellh/vouch,754
2026-02-09,Hacker News,LispE: Lisp Interpreter with Pattern Programming and Lazy Evaluation,https://github.com/naver/lispe,10
2026-02-09,Hacker News,TSMC to make advanced AI semiconductors in Japan,https://apnews.com/article/semiconductors-tsmc-japan-taiwan-ai-11256f2bfde73ca23d08331ad138d6d5,70
2026-02-10,Hacker News,"Frontier AI agents violate ethical constraints 30–50% of time, pressured by KPIs",https://arxiv.org/abs/2512.20798,148
2026-02-10,Hacker News,Discord will require a face scan or ID for full access next month,https://www.theverge.com/tech/875309/discord-age-verification-global-roll-out,1497
2026-02-10,Hacker News,Rust implementation of Mistral's Voxtral Mini 4B Realtime runs in your browser,https://github.com/TrevorS/voxtral-mini-realtime-rs,116
2026-02-10,Hacker News,Why is the sky blue?,https://explainers.blog/posts/why-is-the-sky-blue/,498
2026-02-10,Hacker News,Converting a $3.88 analog clock from Walmart into a ESP8266-based Wi-Fi clock,https://github.com/jim11662418/ESP8266_WiFi_Analog_Clock,454
2026-02-10,Hacker News,"Pure C, CPU-only inference with Mistral Voxtral Realtime 4B speech to text model",https://github.com/antirez/voxtral.c,55
2026-02-10,Hacker News,Hard-braking events as indicators of road segment crash risk,https://research.google/blog/hard-braking-events-as-indicators-of-road-segment-crash-risk/,251
2026-02-10,Hacker News,"Is particle physics dead, dying, or just hard?",https://www.quantamagazine.org/is-particle-physics-dead-dying-or-just-hard-20260126/,82
2026-02-10,Hacker News,"LiftKit – UI where ""everything derives from the golden ratio""",https://www.chainlift.io/liftkit,125
2026-02-10,Hacker News,Luce: First Electric Ferrari,https://www.ferrari.com/en-US/auto/ferrari-luce,141
